                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2536,                 3.9575,                 1.2748,                0.70406,                0.08197,                0.07336,                0.04019,                 2.1615,                 2.8014,                 1.1531,             0.00019528,             0.00019528,             0.00019528
                      2,                 2.2418,                 2.8989,                 1.1648,                0.63363,                0.12371,                0.09603,                0.05246,                 2.1189,                 2.4193,                 1.1087,              0.0003905,              0.0003905,              0.0003905
                      3,                 2.1762,                 2.6343,                 1.1538,                0.65121,                0.12493,                0.11838,                0.06841,                 1.9999,                 2.1811,                 1.1022,             0.00058495,             0.00058495,             0.00058495
                      4,                 2.1199,                 2.4228,                 1.1472,                0.44697,                0.14663,                0.13316,                0.07465,                 1.9645,                 2.1121,                 1.1101,             0.00058451,             0.00058451,             0.00058451
                      5,                 2.0857,                 2.3137,                 1.1282,                0.34776,                0.20169,                 0.1449,                0.08469,                 1.9103,                 2.0615,                 1.0916,             0.00058451,             0.00058451,             0.00058451
                      6,                 2.0703,                 2.1933,                 1.1029,                0.36208,                0.21736,                0.14696,                0.08353,                 1.9145,                 1.9474,                 1.0803,             0.00058334,             0.00058334,             0.00058334
                      7,                 2.0072,                 2.1114,                 1.1034,                0.49506,                0.20172,                0.18734,                 0.1063,                 1.9133,                  1.902,                 1.0774,             0.00058218,             0.00058218,             0.00058218
                      8,                 1.9778,                 2.0353,                 1.0897,                0.44795,                0.26259,                0.20898,                0.12593,                 1.9082,                 1.8423,                 1.0691,             0.00058101,             0.00058101,             0.00058101
                      9,                 1.9643,                 1.9834,                 1.0915,                0.60072,                0.29114,                0.24424,                0.15422,                 1.8703,                 1.7774,                 1.0645,             0.00057985,             0.00057985,             0.00057985
                     10,                 1.9742,                 1.9834,                  1.084,                0.55614,                  0.291,                0.23843,                0.14567,                 1.8818,                 1.7515,                 1.0624,             0.00057869,             0.00057869,             0.00057869
                     11,                 1.9479,                 1.9097,                 1.0815,                0.60008,                0.29024,                0.26425,                0.16465,                 1.8352,                  1.713,                 1.0619,             0.00057752,             0.00057752,             0.00057752
                     12,                 1.9215,                 1.8745,                 1.0714,                0.63945,                  0.293,                0.30599,                0.19833,                  1.815,                 1.6681,                 1.0503,             0.00057636,             0.00057636,             0.00057636
                     13,                 1.8648,                 1.8236,                 1.0686,                  0.653,                0.29407,                0.30602,                 0.1944,                 1.8472,                 1.6611,                 1.0567,             0.00057519,             0.00057519,             0.00057519
                     14,                 1.9048,                 1.8259,                 1.0639,                0.68038,                0.28944,                0.32048,                0.21091,                 1.7997,                 1.6294,                 1.0534,             0.00057403,             0.00057403,             0.00057403
                     15,                 1.8768,                 1.7794,                 1.0659,                0.64509,                0.30507,                0.33547,                0.21805,                 1.7797,                 1.6208,                 1.0441,             0.00057286,             0.00057286,             0.00057286
                     16,                 1.9004,                 1.7994,                 1.0672,                0.69053,                0.31054,                0.35714,                0.23595,                 1.7532,                 1.5964,                  1.043,              0.0005717,              0.0005717,              0.0005717
                     17,                 1.8455,                 1.7454,                 1.0529,                 0.7075,                0.32252,                0.36078,                0.23637,                  1.773,                 1.5893,                 1.0376,             0.00057054,             0.00057054,             0.00057054
